trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Plastico,6275,Bull,Wormed,Doctor,Can,Disgust,Sign,-1,-1,719.219318937224
Rottenbottle,7364,Pinoccio,Wormed,Boobs,Nipple,Wong,Sign,-1,-1,712.2800791344811
Overconsume,3746,Anus,Anuses,Golden,Punk,Shark,Sign,-1,-1,703.6106196169246
Worm,176,Devil,Wormed,Haminguay,Nipple,Disgust,Sign,-1,-1,702.7927387049575
Overconsume,1034,Anus,Anuses,Cuted,Gman,Rolling stone,Sign,-1,-1,678.6329467492857
Halfburger,7749,Bigppig,Stringed,Chicken,Beaten,Microphone,Sign,-1,-1,663.7077816365776
Oldporn,7668,David,Ping,Chicken,Bra,Poker,Sign,-1,-1,621.0064756767683
Plastico,5859,David,Coolglasses,Chicken,Can,Texting,Sign,-1,-1,610.3692907555292
Iguana,6612,Rat,Wide,Chicken,Punk,Texting,Sign,-1,-1,596.7189239656019
Therapist,6792,Beated,Shop,Haminguay,Gman,Anus,Sign,-1,-1,596.1860667243645
Rottenbottle,7353,Bushes,Shop,Chicken,Goblin,Leo,Sign,-1,-1,583.5217399294471
Exwife,5792,Anus,Ping,Cuted,Bra,Clown,Sign,-1,-1,580.2798206648421
Halfburger,3525,Pinoccio,Fu,Boned,Sailor,Anus,Sign,-1,-1,564.8508257482662
Oldporn,5413,Hole,Shop,Hooligan,Bra,Smile,Sign,-1,-1,564.1621025696126
Therapist,2300,Hairy,Comix,Snake,Buddha,Microphone,Sign,-1,-1,553.1295541549724
Iguana,797,Bull,Ping,Chicken,Robot,Wong,Sign,-1,-1,549.3883571136477
Rottenbottle,2548,Smallpig,Dots,Haminguay,Buddha,Anus,Sign,-1,-1,534.775161902066
Plastico,4962,Hole,Anuses,Doctor,Beaten,Orc,Sign,-1,-1,531.0225257649981
Plastico,4481,Plaster,Anuses,Meat,Nipple,Butthead,Sign,-1,-1,528.0142376553191
Oldporn,3927,Devil,Anuses,Armored,Fishman,Football,Sign,-1,-1,519.2753993714954
Rottenbottle,903,Devil,Ping,Hairy,Fishman,Anus,Sign,-1,-1,513.3658379853132
Therapist,1339,Bull,Insect,Leopard,Nipple,Anus,Sign,-1,-1,503.52807618710057
Therapist,2729,Pinoccio,Insect,Shirt,Beaten,Anus,Sign,-1,-1,502.210773143166
Nail,3634,Smallpig,Mutated,Trash,Hugo,Anus,Sign,-1,-1,492.9122279391729
Hoock,5313,Ruffo,Insect,Chicken,Sailor,Pierced,Sign,-1,-1,485.52732444910595
Hoock,7858,Ruffo,Mutated,Skeleton,Buddha,Anus,Sign,-1,-1,484.570630156398
Rottenbottle,4025,Devil,Love,Chicken,Can,Smile,Sign,-1,-1,482.18179564758424
Plastico,2642,Ruffo,Pirato,Office,Robot,Microphone,Sign,-1,-1,480.35221852607197
Cockroach,2353,Anus,Rage,Mario,Babylon,Stringed,Sign,-1,-1,476.6066744122322
Rottenbottle,2443,Pinoccio,Pirato,Mario,Bra,Texting,Sign,-1,-1,476.1320533597364
Deadcop,6821,Bigppig,Sporty,Haminguay,Robot,Football,Sign,-1,-1,475.1715548317603
Nail,6039,Alex,Cry,Haminguay,Punk,Anus,Sign,-1,-1,472.64880644667846
Worm,5749,Pinoccio,Ping,Chicken,Raiden,Lui,Sign,-1,-1,471.6482280194039
Therapist,1604,Anus,Tripple,Meat,Hugo,Football,Sign,-1,-1,470.3850660078653
Oldporn,721,Beated,Sporty,Army,Goblin,Tripple,Sign,-1,-1,469.8789521909768
Spider,4428,Zigzag,Anuses,Rotten,Malett,Poker,Sign,-1,-1,467.5361493055175
Hoock,1488,Stop,Sporty,Army,Hugo,Cortes,Sign,-1,-1,466.52904489608517
Hoock,75,Bull,Blacky,Chicken,Sailor,Orc,Sign,-1,-1,465.594533927211
Poisoned,6793,Zigzag,Ping,Chicken,Goblin,Football,Sign,-1,-1,462.3436715757361
Rottenbottle,883,Pierced,Anuses,Trash,Buddha,Lui,Sign,-1,-1,458.75102024149663
Spider,6369,Alex,Robo,Armored,Nipple,Anus,Sign,-1,-1,458.27144201331197
Worm,3146,Plaster,Anuses,Army,Cap,Bender,Sign,-1,-1,457.8515365148318
Worm,6684,Rat,Feelings,Golden,Robot,Microphone,Sign,-1,-1,456.3691566017123
Hoock,7800,Anus,Smoky,Trash,Beaten,Bender,Sign,-1,-1,456.2360843010214
Overconsume,6416,Pinoccio,Tripple,Chicken,Bold,Hellraiser,Sign,-1,-1,453.9670343968803
Halfburger,7048,Plagued,Robo,Mario,Goblin,Anus,Sign,-1,-1,453.5104645203985
Cockroach,2048,Pierced,Comix,Leopard,Gman,Anus,Sign,-1,-1,452.98106870054886
Mapcross,2081,Pinoccio,Anuses,Skeleton,Sailor,Football,Sign,-1,-1,452.5403726227463
Rottenbottle,5399,Vata,Sleepy,Rotten,Sailor,Anus,Sign,-1,-1,452.17397209754955
Iguana,7419,Sticked,Anuses,Redisco,Nipple,Texas,Sign,-1,-1,452.04738989508235
Worm,2787,Rat,Sleepy,Chicken,Hugo,Bender,Sign,-1,-1,452.03121265344316
Exwife,5241,Pinoccio,Fu,Mario,Goblin,Anus,Sign,-1,-1,449.6825863483632
Cockroach,2396,Plaster,Anuses,VDV,Cap,Chi,Sign,-1,-1,448.7193613794246
Exwife,6859,Pierced,Sporty,Redisco,Bold,Stickered,Sign,-1,-1,448.2964112685296
Therapist,2000,Smallpig,Sleepy,Boned,Bra,Scar,Sign,-1,-1,447.7432164915333
Therapist,1751,Stop,Sporty,Haminguay,Babylon,Chappy,Sign,-1,-1,446.9831325984781
Nail,3301,Teenager,Anuses,Urka,Nipple,Teethout,Sign,-1,-1,446.8090573820997
Plastico,1949,Pinoccio,Cry,Chicken,Buddha,Disgust,Sign,-1,-1,446.16758283639894
Iguana,5301,Pinoccio,Blacky,Chicken,Hugo,Hellraiser,Sign,-1,-1,446.1570307258458
Therapist,1550,Pinoccio,Stringed,Leopard,Beaten,Anus,Sign,-1,-1,444.97732852333576
Rottenbottle,5899,Rat,Anuses,Boobs,Can,Lui,Sign,-1,-1,444.4798282155909
Nail,829,Vata,Beaten,Magnum,Goblin,Anus,Sign,-1,-1,444.0859022271965
Exwife,7614,Beavis,Wide,Hairy,Gman,Anus,Sign,-1,-1,442.7459810212452
Deadcop,6037,Beated,Anuses,Rotten,Nipple,Poker,Sign,-1,-1,441.1894686695264
