trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Worm,7355,Hairy,Sleepy,Golden,Gman,Hellraiser,Sign,-1,-1,207.49738313036232
Oldporn,284,Jerry,Blacky,Skeleton,Cap,Rolling stone,Sign,-1,-1,207.4907757514778
Plastico,3647,Pinoccio,Coins,Mario,Goblin,Smoke,Sign,-1,-1,207.46517725396123
Hoock,7260,Plaster,Stringed,Magnum,Cap,Stringed,Sign,-1,-1,207.4496189968723
Overconsume,394,Hole,Wide,Hairy,Cap,Leo,Sign,-1,-1,207.4349686804808
Halfburger,4668,Teenager,Coins,Shirt,Sailor,Leo,Sign,-1,-1,207.4229138043582
Exwife,2887,Hole,Out,Cuted,Beaten,Rolling stone,Sign,-1,-1,207.41354498115243
Plastico,7797,Jerry,Cry,Urka,Malett,Poker,Sign,-1,-1,207.40572113088095
Cockroach,6644,Beavis,Stringed,Hoodie,Beaten,Stickered,Sign,-1,-1,207.38832548472467
Mapcross,530,Teenager,Love,Magnum,Bold,Dick,Sign,-1,-1,207.36463001098755
Iguana,5803,Pierced,Nosferatu,Office,Malett,Bender,Sign,-1,-1,207.226295798324
Iguana,1873,Plastered,Coins,Mario,Babylon,Smoke,Sign,-1,-1,207.06619582872645
Oldporn,6216,Sticked,Cyber,Hairy,Fishman,Teethout,Sign,-1,-1,207.02785610180234
Halfburger,5448,Devil,Rage,Army,Hugo,Stickered,Sign,-1,-1,206.99150402068472
Mapcross,3253,Sticked,Gentlemen,Hooligan,Buddha,Stickered,Sign,-1,-1,206.98654581332178
Rottenbottle,3457,Bushes,Dots,Doctor,Babylon,Lui,Sign,-1,-1,206.9612937055502
Worm,7969,Beavis,Beaten,Army,Fishman,Leo,Sign,-1,-1,206.9491846932036
Iguana,4026,Pinoccio,Out,Rotten,Cap,Stickered,Sign,-1,-1,206.93841749747926
Deadcop,449,Plastered,Bushes,Blooded,Hugo,Ugly,Sign,-1,-1,206.93400146736477
Spider,5862,Plagued,Beaten,Snake,Nipple,Ugly,Sign,-1,-1,206.85084685971597
Overconsume,2878,Bigppig,Buddha,Magnum,Gman,Stringed,Sign,-1,-1,206.7818177471748
Iguana,4107,Booger,Nosferatu,Hooligan,Beaten,Eye,Sign,-1,-1,206.58411838908793
Hoock,7229,Plastered,Comix,Doctor,Raiden,Mask,Sign,-1,-1,206.54162953249855
Plastico,4877,Bushes,Feelings,Cuted,Sailor,Stringed,Sign,-1,-1,206.52024662563446
Exwife,946,Rat,Buddha,Cuted,Buddha,Stringed,Sign,-1,-1,206.47049807739438
Nail,76,Pierced,Stereo,Rotten,Nipple,Eye,Sign,-1,-1,206.3534053806683
Mapcross,7181,Hole,Wide,Haminguay,Gman,Poker,Sign,-1,-1,206.09776003145802
Cockroach,7092,Plagued,Coins,Rotten,Buddha,Lui,Sign,-1,-1,206.08287549468923
Overconsume,7435,Jerry,Pirato,Cuted,Sailor,Mask,Sign,-1,-1,205.89980637158172
Mapcross,4919,Jerry,Tripple,Redisco,Babylon,Lui,Sign,-1,-1,205.8908597553326
Worm,2507,Jerry,Pirato,Redisco,Babylon,Orc,Sign,-1,-1,205.76561876482552
Halfburger,6806,Sticked,Robo,Chair,Beaten,Cat,Sign,-1,-1,205.74060936054275
Poisoned,3200,Sticked,Bushes,Golden,Nipple,Wong,Sign,-1,-1,205.63439590881953
Oldporn,6611,Alex,Love,Trash,Babylon,Leo,Sign,-1,-1,205.62096796291925
Hoock,4779,Teenager,Crybaby,Chair,Babylon,Scar,Sign,-1,-1,205.59584829176302
Overconsume,6963,Rat,Love,Office,Buddha,Cat,Sign,-1,-1,205.592955956176
Rottenbottle,5149,Jerry,Feelings,Skeleton,Babylon,Cortes,Sign,-1,-1,205.57770042175005
Halfburger,1427,David,Love,Magnum,Raiden,Pierced,Sign,-1,-1,205.51743723576791
Hoock,5449,Pinoccio,Insect,Magnum,Nipple,Dick,Sign,-1,-1,205.43184410898112
Deadcop,2676,Hole,Gentlemen,Hooligan,Nipple,Ugly,Sign,-1,-1,205.34984694072594
Exwife,1303,Pierced,Pirato,Magnum,Gman,Stringed,Sign,-1,-1,205.27755986898674
Worm,5758,Alex,Stereo,Shirt,Babylon,Butthead,Sign,-1,-1,205.26835852365903
Iguana,3842,Sticked,Lens,Hooligan,Hugo,Stickered,Sign,-1,-1,205.22744303068365
Overconsume,7691,Plaster,Dots,Hoodie,Gman,Poker,Sign,-1,-1,205.20538397855344
Therapist,1290,Pinoccio,Cyber,Cuted,Fishman,Pierced,Sign,-1,-1,205.11363621751687
Overconsume,2279,Plastered,Comix,Meat,Gman,Orc,Sign,-1,-1,205.1053682250716
Nail,2001,Zigzag,Fu,Rotten,Raiden,Pierced,Sign,-1,-1,204.99519599701168
Cockroach,7666,Plaster,Insect,Haminguay,Goblin,Butthead,Sign,-1,-1,204.93829773717684
Nail,1917,Beavis,Coins,Doctor,Beaten,Football,Sign,-1,-1,204.8484658575507
Worm,3713,Hole,Beaten,Golden,Hugo,Teethy,Sign,-1,-1,204.78210420762
Nail,1090,Smallpig,Sleepy,Golden,Malett,Stickered,Sign,-1,-1,204.63128004438843
Cockroach,6848,Bushes,Pirato,Magnum,Gman,Stickered,Sign,-1,-1,204.5682746199611
Exwife,4885,Sticked,Stringed,Urka,Raiden,Shark,Sign,-1,-1,204.5347676084977
Halfburger,5010,Bull,Buddha,Doctor,Hugo,Stringed,Sign,-1,-1,204.50905440775026
Oldporn,2328,Booger,Cry,Magnum,Goblin,Stickered,Sign,-1,-1,204.495018552893
Cockroach,4638,Hole,Out,Hairy,Beaten,Poker,Sign,-1,-1,204.48764964693186
Plastico,5406,Plastered,Bushes,Golden,Sailor,Poker,Sign,-1,-1,204.4178728950155
Oldporn,6379,Booger,Dots,Cuted,Buddha,Poker,Sign,-1,-1,204.35038611805066
Oldporn,5052,Ruffo,Feelings,Meat,Sailor,Chi,Sign,-1,-1,204.3150994271966
Worm,5131,Smallpig,Comix,Meat,Bold,Pierced,Sign,-1,-1,204.30340598983335
Poisoned,2639,Hole,Ping,Golden,Hugo,Poker,Sign,-1,-1,204.16201801489177
Nail,1314,Beavis,Insect,Redisco,Babylon,Pierced,Sign,-1,-1,204.155884922119
Exwife,5276,Bigppig,Blacky,Skeleton,Sailor,Mask,Sign,-1,-1,204.0891623239731
Overconsume,7494,Plastered,Coins,Army,Babylon,Football,Sign,-1,-1,204.04430863400987
Poisoned,6277,Sticked,Sleepy,Leopard,Hugo,Stickered,Sign,-1,-1,203.9217013837564
Deadcop,907,Pinoccio,Lens,Hairy,Hugo,Stringed,Sign,-1,-1,203.89305846422636
Exwife,2065,Bull,Coins,Hooligan,Buddha,Lui,Sign,-1,-1,203.72421299874526
Deadcop,4800,David,Ping,Meat,Hugo,Cat,Sign,-1,-1,203.71638111703587
Exwife,3368,Bigppig,Rage,Meat,Gman,Disgust,Sign,-1,-1,203.6423807349834
Poisoned,1735,Worm,Pirato,Doctor,Hugo,Mask,Sign,-1,-1,203.63310093873528
Cockroach,5166,Plastered,Fish,Hoodie,Fishman,Disgust,Sign,-1,-1,203.56498086590807
Worm,1485,Alex,Rage,Meat,Goblin,Poker,Sign,-1,-1,203.48688488825283
Therapist,4092,Pinoccio,Comix,Chair,Babylon,Cortes,Sign,-1,-1,203.47590024409
Hoock,7387,Plastered,Nosferatu,VDV,Raiden,Smile,Sign,-1,-1,203.4309068290431
Hoock,4195,Booger,Smoky,Chair,Sailor,Disgust,Sign,-1,-1,203.36370422189074
Plastico,5402,Ruffo,Nosferatu,Skeleton,Hugo,Bender,Sign,-1,-1,203.318604882282
Poisoned,1738,Devil,Ping,Leopard,Gman,Stickered,Sign,-1,-1,203.25102068889763
Hoock,6968,Teenager,Wide,Haminguay,Cap,Stringed,Sign,-1,-1,203.22384483241203
Iguana,4064,Plaster,Robo,Magnum,Fishman,Smile,Sign,-1,-1,203.19525455781164
Therapist,2256,Vata,Fu,Chair,Punk,Leo,Sign,-1,-1,203.0633824702206
Nail,7689,Pinoccio,Beaten,Trash,Bold,Eye,Sign,-1,-1,202.99286196290873
Deadcop,5287,Pinoccio,Comix,Magnum,Goblin,Stickered,Sign,-1,-1,202.90612338150243
Poisoned,7318,Plastered,Feelings,Meat,Punk,Rolling stone,Sign,-1,-1,202.8640126384946
Worm,6096,Bull,Ping,VDV,Hugo,Stickered,Sign,-1,-1,202.80365878750305
Spider,5053,Worm,Feelings,Magnum,Raiden,Lui,Sign,-1,-1,202.739708383979
Deadcop,5810,David,Love,Leopard,Bold,Butthead,Sign,-1,-1,202.70505239967528
Overconsume,4292,Ruffo,Blacky,Chair,Beaten,Shark,Sign,-1,-1,202.69623402861768
Hoock,3636,Pierced,Fu,Hairy,Goblin,Stickered,Sign,-1,-1,202.6736315012824
Deadcop,736,Jerry,Feelings,Magnum,Punk,Bender,Sign,-1,-1,202.5026174303176
Worm,7522,Bull,Pirato,Redisco,Buddha,Eye,Sign,-1,-1,202.4738984451785
Plastico,483,Teenager,Beaten,Magnum,Fishman,Smoke,Sign,-1,-1,202.4462262445513
Mapcross,3579,Smallpig,Crybaby,Haminguay,Raiden,Cat,Sign,-1,-1,202.43385276190696
Spider,1003,Rat,Beaten,Meat,Malett,Yakubovich,Sign,-1,-1,202.29353523549392
Mapcross,4234,Teenager,Ping,Blooded,Fishman,Smile,Sign,-1,-1,202.21259153585228
Rottenbottle,3419,Worm,Nosferatu,Hooligan,Hugo,Hellraiser,Sign,-1,-1,202.1882069090187
Deadcop,1816,Bull,Out,Magnum,Gman,Stringed,Sign,-1,-1,202.07168487971188
Nail,7965,Sticked,Coins,Office,Hugo,Ugly,Sign,-1,-1,201.91751014656322
Oldporn,4572,Worm,Beaten,Trash,Sailor,Texas,Sign,-1,-1,201.87361019395954
Spider,3413,Rat,Coins,VDV,Gman,Smoke,Sign,-1,-1,201.8550495098068
Worm,2660,Booger,Wide,VDV,Gman,Stringed,Sign,-1,-1,201.8380590060908
Halfburger,2092,Plastered,Coins,Golden,Punk,Poker,Sign,-1,-1,201.8363599355638
Hoock,5679,Vata,Coins,Hoodie,Sailor,Disgust,Sign,-1,-1,201.78994765243544
Hoock,2437,Smallpig,Fish,Meat,Babylon,Chappy,Sign,-1,-1,201.66148639744787
Exwife,7735,Pinoccio,Cyber,Magnum,Fishman,Lui,Sign,-1,-1,201.65307988908404
Overconsume,6989,Bigppig,Coins,Cuted,Goblin,Rolling stone,Sign,-1,-1,201.59249866637032
Deadcop,4768,Smallpig,Kitty,Skeleton,Bold,Eye,Sign,-1,-1,201.5902901471068
Poisoned,2148,Sticked,Smoky,Chair,Hugo,Teethout,Sign,-1,-1,201.5218159437433
Therapist,4882,Teenager,Beaten,Trash,Gman,Eye,Sign,-1,-1,201.5157395950548
Nail,169,David,Coins,Hooligan,Cap,Texas,Sign,-1,-1,201.50174258858513
Oldporn,3999,Bushes,Fish,Leopard,Can,Rotten,Sign,-1,-1,201.49476417280735
Cockroach,1787,David,Bushes,Golden,Beaten,Lui,Sign,-1,-1,201.45966970741802
Rottenbottle,2867,Bushes,Blacky,Mario,Babylon,Rotten,Sign,-1,-1,201.36570055273256
Oldporn,156,Bull,Smoky,Doctor,Bold,Eye,Sign,-1,-1,201.24838409318093
Iguana,1727,Pinoccio,Dots,Hairy,Sailor,Teethout,Sign,-1,-1,201.2069234842533
Iguana,6884,Teenager,Coolglasses,Rotten,Can,Mask,Sign,-1,-1,201.12397684825058
Spider,2119,Ruffo,Dots,Haminguay,Hugo,Poker,Sign,-1,-1,201.08118507003977
Poisoned,2301,Plaster,Lens,Hooligan,Fishman,Teethy,Sign,-1,-1,201.03936660058068
Exwife,722,Bull,Feelings,Cuted,Fishman,Rolling stone,Sign,-1,-1,200.87107359215125
Mapcross,2849,Worm,Smoky,Rotten,Goblin,Leo,Sign,-1,-1,200.82063613362655
Therapist,1519,Zigzag,Crybaby,Hoodie,Nipple,Eye,Sign,-1,-1,200.80044808440076
Rottenbottle,1924,Devil,Ping,Redisco,Punk,Rotten,Sign,-1,-1,200.76620583928545
Nail,3421,Beavis,Insect,Urka,Goblin,Ugly,Sign,-1,-1,200.70535777732894
Iguana,5922,Pinoccio,Fu,Meat,Hugo,Scar,Sign,-1,-1,200.6587079686755
Oldporn,1082,Teenager,Coolglasses,Mario,Raiden,Smoke,Sign,-1,-1,200.5788299770616
Deadcop,4322,Plagued,Smoky,Mario,Sailor,Eye,Sign,-1,-1,200.54829592905946
Plastico,889,Teenager,Tripple,Mario,Sailor,Rotten,Sign,-1,-1,200.48608007144966
Therapist,1497,Jerry,Mutated,Magnum,Beaten,Cat,Sign,-1,-1,200.2818578648444
Hoock,2523,Beated,Insect,Magnum,Sailor,Cat,Sign,-1,-1,200.2069476745769
Worm,7877,Alex,Cry,Rotten,Babylon,Eye,Sign,-1,-1,200.1993743068364
Cockroach,2960,Bigppig,Coins,Haminguay,Babylon,Leo,Sign,-1,-1,200.1898221266605
Hoock,3241,Bushes,Smoky,VDV,Nipple,Eye,Sign,-1,-1,200.1530440909602
Deadcop,4284,Ruffo,Ping,Blooded,Sailor,Stickered,Sign,-1,-1,200.10521443119129
Deadcop,2209,Devil,Dots,Golden,Buddha,Ugly,Sign,-1,-1,200.08826319518852
Deadcop,6046,Rat,Mutated,Boobs,Can,Mask,Sign,-1,-1,200.02396285293523
Worm,3800,Rat,Nosferatu,Urka,Gman,Cortes,Sign,-1,-1,200.0034512762344
Nail,151,Jerry,Gentlemen,Magnum,Sailor,Dick,Sign,-1,-1,199.98383091223724
Therapist,1578,Sticked,Crybaby,Meat,Sailor,Smile,Sign,-1,-1,199.9099888858
Rottenbottle,4455,Devil,Dots,Haminguay,Nipple,Chappy,Sign,-1,-1,199.85500429729836
Hoock,2718,Smallpig,Love,Army,Can,Cat,Sign,-1,-1,199.76306442342076
Overconsume,7582,David,Robo,Golden,Cap,Stickered,Sign,-1,-1,199.76207541645098
Exwife,1146,Rat,Tripple,Haminguay,Can,Rotten,Sign,-1,-1,199.68701834338162
Exwife,1245,Beated,Lens,Meat,Goblin,Lui,Sign,-1,-1,199.56752050483317
Deadcop,2330,Teenager,Kitty,Urka,Sailor,Eye,Sign,-1,-1,199.50800562253212
Halfburger,6679,Bushes,Feelings,Urka,Goblin,Eye,Sign,-1,-1,199.460057953278
Exwife,3968,Jerry,Tripple,Army,Malett,Smile,Sign,-1,-1,199.35932204134096
Deadcop,5846,Jerry,Crybaby,Redisco,Buddha,Teethout,Sign,-1,-1,199.24534709639187
Oldporn,6906,Sticked,Hypnotic,Doctor,Gman,Mask,Sign,-1,-1,199.23500937706544
Plastico,3025,Ruffo,Beaten,Office,Punk,Eye,Sign,-1,-1,199.11397970702237
Worm,6655,Beated,Love,Hairy,Can,Chi,Sign,-1,-1,199.10475102458906
Rottenbottle,3030,Pierced,Buddha,Meat,Bold,Scar,Sign,-1,-1,199.06640442645497
Rottenbottle,4832,Beavis,Robo,Meat,Beaten,Chappy,Sign,-1,-1,199.05574488413984
Poisoned,2794,Ruffo,Insect,Hairy,Beaten,Butthead,Sign,-1,-1,199.00416028265624
Deadcop,2737,Ruffo,Pirato,Trash,Raiden,Teethout,Sign,-1,-1,198.95461586031124
Mapcross,2264,Plastered,Coins,Hairy,Goblin,Texas,Sign,-1,-1,198.91241980849358
Hoock,1726,Devil,Crybaby,Chair,Nipple,Orc,Sign,-1,-1,198.8593059597363
Spider,5035,Plastered,Coolglasses,Meat,Beaten,Wong,Sign,-1,-1,198.83684865604778
Exwife,3483,Ruffo,Hypnotic,Magnum,Cap,Mask,Sign,-1,-1,198.80863059180413
Exwife,1483,Bigppig,Love,Haminguay,Punk,Orc,Sign,-1,-1,198.80555446994074
Plastico,2826,David,Coins,Mario,Cap,Hellraiser,Sign,-1,-1,198.79817635931786
Nail,701,Pinoccio,Dots,Magnum,Cap,Lui,Sign,-1,-1,198.75275724624476
Halfburger,1788,Zigzag,Robo,Army,Buddha,Dick,Sign,-1,-1,198.7360719888518
Therapist,71,Rat,Fu,Golden,Fishman,Pierced,Sign,-1,-1,198.72185193197495
Exwife,310,Sticked,Coins,Army,Babylon,Leo,Sign,-1,-1,198.70618616238824
Hoock,187,Plaster,Smoky,Skeleton,Bold,Bender,Sign,-1,-1,198.6954178658166
Worm,7471,Plagued,Smoky,Boobs,Gman,Mask,Sign,-1,-1,198.5443816637525
Overconsume,4922,Worm,Rage,Urka,Sailor,Yakubovich,Sign,-1,-1,198.4410835765764
Rottenbottle,4091,Jerry,Cry,Army,Sailor,Cat,Sign,-1,-1,198.34844316733987
Exwife,6067,Rat,Out,Armored,Fishman,Teethout,Sign,-1,-1,198.2697116613797
Halfburger,3864,Beavis,Tripple,Rotten,Hugo,Mask,Sign,-1,-1,198.2211131827452
Poisoned,7320,David,Blacky,Meat,Goblin,Ugly,Sign,-1,-1,198.16597171964818
Hoock,4579,Rat,Buddha,Meat,Hugo,Orc,Sign,-1,-1,198.16545441462827
Poisoned,3498,Jerry,Crybaby,Blooded,Nipple,Cortes,Sign,-1,-1,198.16331014514145
Mapcross,6469,Smallpig,Gentlemen,VDV,Fishman,Wong,Sign,-1,-1,198.09001302001184
Plastico,1655,Alex,Insect,Mario,Babylon,Smoke,Sign,-1,-1,197.89390633800497
Halfburger,7381,Pierced,Coolglasses,VDV,Buddha,Rotten,Sign,-1,-1,197.80169312904164
Exwife,1352,Pinoccio,Out,Magnum,Cap,Stringed,Sign,-1,-1,197.79878787423038
Deadcop,171,Rat,Coins,Leopard,Nipple,Leo,Sign,-1,-1,197.56981552843055
Spider,1552,Plastered,Lens,Meat,Malett,Pierced,Sign,-1,-1,197.52639957317885
Deadcop,6159,Sticked,Tripple,Haminguay,Can,Eye,Sign,-1,-1,197.43664958927164
Oldporn,5807,Ruffo,Coins,Hooligan,Bold,Teethout,Sign,-1,-1,197.43388663640758
Iguana,7825,Jerry,Feelings,Office,Sailor,Chi,Sign,-1,-1,197.43254531010808
Halfburger,1322,Plagued,Tripple,Chair,Sailor,Hellraiser,Sign,-1,-1,197.40476602118608
Exwife,6287,Worm,Pirato,Hooligan,Punk,Shark,Sign,-1,-1,197.3960065467722
Therapist,6548,David,Coolglasses,Cuted,Punk,Eye,Sign,-1,-1,197.37431747003984
Rottenbottle,1005,Bigppig,Stereo,VDV,Hugo,Mask,Sign,-1,-1,197.26989240393263
Iguana,5704,Alex,Love,Leopard,Nipple,Cortes,Sign,-1,-1,197.22378946628945
Worm,6624,Worm,Mutated,Haminguay,Punk,Chappy,Sign,-1,-1,197.21760524673556
Rottenbottle,2085,Bigppig,Nosferatu,Haminguay,Bold,Butthead,Sign,-1,-1,197.1940090159964
Plastico,1669,Booger,Pirato,Trash,Babylon,Mask,Sign,-1,-1,197.15346337413862
Plastico,4213,Jerry,Blacky,Doctor,Hugo,Chi,Sign,-1,-1,197.11349831519507
Exwife,4424,David,Wide,Haminguay,Sailor,Stringed,Sign,-1,-1,197.06245783891262
Exwife,3690,Plastered,Wide,Haminguay,Gman,Stringed,Sign,-1,-1,197.03818609917616
Worm,1168,Ruffo,Love,Armored,Malett,Cortes,Sign,-1,-1,196.91400159194043
Exwife,513,Plastered,Rage,Chair,Punk,Hellraiser,Sign,-1,-1,196.82548511520122
Poisoned,2058,Smallpig,Comix,Meat,Hugo,Chappy,Sign,-1,-1,196.81542286322383
Deadcop,3774,Pinoccio,Ping,Doctor,Sailor,Stringed,Sign,-1,-1,196.7804688205866
Oldporn,1708,Jerry,Feelings,Trash,Nipple,Disgust,Sign,-1,-1,196.67150781234005
Therapist,1667,Plagued,Fish,Meat,Gman,Disgust,Sign,-1,-1,196.6132622273824
Iguana,6201,Pierced,Coins,Magnum,Buddha,Disgust,Sign,-1,-1,196.6037848772499
Rottenbottle,638,Alex,Insect,VDV,Nipple,Clown,Sign,-1,-1,196.55309341254207
Oldporn,5537,Beated,Blacky,Hairy,Hugo,Rotten,Sign,-1,-1,196.44272418270944
Spider,2769,Alex,Fu,Chair,Hugo,Texas,Sign,-1,-1,196.44057250689357
Oldporn,1685,Zigzag,Fish,Cuted,Raiden,Disgust,Sign,-1,-1,196.42149312191694
Hoock,4792,Smallpig,Comix,Chair,Can,Smile,Sign,-1,-1,196.41326461234783
Therapist,4804,Plastered,Insect,Skeleton,Sailor,Football,Sign,-1,-1,196.3277173759243
Cockroach,1888,Booger,Tripple,Chair,Cap,Hellraiser,Sign,-1,-1,196.27459059029255
Poisoned,868,Zigzag,Love,Blooded,Nipple,Texas,Sign,-1,-1,196.22551469781354
Hoock,522,Worm,Stereo,Leopard,Nipple,Teethy,Sign,-1,-1,196.21616117987216
Cockroach,6489,Jerry,Coolglasses,Blooded,Buddha,Pierced,Sign,-1,-1,196.18148658910874
Overconsume,4394,Bull,Buddha,Cuted,Fishman,Chappy,Sign,-1,-1,196.0825100814515
Rottenbottle,5769,Ruffo,Fu,Chair,Punk,Chappy,Sign,-1,-1,195.97858330062914
Overconsume,6737,David,Wide,Chair,Malett,Clown,Sign,-1,-1,195.93588030154717
Therapist,7501,Jerry,Out,Armored,Buddha,Cat,Sign,-1,-1,195.80559064529655
Plastico,7443,Plastered,Insect,Leopard,Gman,Cortes,Sign,-1,-1,195.7871840488234
Iguana,6317,Plastered,Coins,Armored,Cap,Wong,Sign,-1,-1,195.75327109141242
Nail,179,Alex,Sleepy,Cuted,Fishman,Teethy,Sign,-1,-1,195.68023353916604
Oldporn,5944,Bull,Beaten,Trash,Cap,Mask,Sign,-1,-1,195.66690886685532
Spider,3787,Jerry,Comix,Redisco,Beaten,Smoke,Sign,-1,-1,195.65233454517758
Mapcross,225,Vata,Out,Chair,Gman,Orc,Sign,-1,-1,195.60686332330906
Deadcop,4171,David,Blacky,Skeleton,Cap,Dick,Sign,-1,-1,195.59167871077724
Therapist,655,Pierced,Lens,Cuted,Fishman,Pierced,Sign,-1,-1,195.56754002144473
Rottenbottle,6327,Pierced,Hypnotic,Leopard,Nipple,Butthead,Sign,-1,-1,195.5504536707523
Rottenbottle,3035,Plagued,Ping,Hooligan,Nipple,Stickered,Sign,-1,-1,195.53538791112763
Spider,4019,Plaster,Coins,Hoodie,Babylon,Leo,Sign,-1,-1,195.44020326464744
Oldporn,7239,Ruffo,Love,Redisco,Nipple,Clown,Sign,-1,-1,195.3877332548148
Nail,6682,Plaster,Ping,Meat,Gman,Football,Sign,-1,-1,195.36769833915125
Oldporn,6235,Plagued,Blacky,Leopard,Sailor,Rotten,Sign,-1,-1,195.20036988064376
Overconsume,5367,Bigppig,Ping,Chair,Punk,Wong,Sign,-1,-1,195.19985014448122
Oldporn,4014,Bushes,Insect,Haminguay,Goblin,Chi,Sign,-1,-1,195.15349928987987
Nail,7978,Pinoccio,Insect,Army,Sailor,Cat,Sign,-1,-1,195.14372378970484
Therapist,6050,Plastered,Beaten,Doctor,Beaten,Stringed,Sign,-1,-1,195.1298794793405
Deadcop,1943,Alex,Mutated,Office,Punk,Chi,Sign,-1,-1,195.11906443203245
Worm,5335,Beavis,Stringed,Hoodie,Punk,Eye,Sign,-1,-1,195.0454432318449
Poisoned,5331,David,Buddha,Golden,Nipple,Stringed,Sign,-1,-1,195.0117787657181
Spider,2272,Beated,Fu,Meat,Gman,Ugly,Sign,-1,-1,194.98963163677465
Overconsume,3084,Ruffo,Comix,Cuted,Fishman,Ugly,Sign,-1,-1,194.93002530443016
Halfburger,5911,Worm,Comix,Shirt,Can,Pierced,Sign,-1,-1,194.91927661350627
Therapist,342,Beated,Wide,Boobs,Raiden,Shark,Sign,-1,-1,194.87303781858324
Spider,3795,Beated,Stringed,Shirt,Malett,Dick,Sign,-1,-1,194.84720101927465
Poisoned,4035,Smallpig,Coins,Hooligan,Gman,Teethy,Sign,-1,-1,194.78050336587148
Poisoned,24,Devil,Cry,Chair,Gman,Shark,Sign,-1,-1,194.7600609249008
Spider,5130,Booger,Pirato,Haminguay,Fishman,Teethy,Sign,-1,-1,194.6924755647705
Overconsume,5958,Bigppig,Mutated,VDV,Beaten,Eye,Sign,-1,-1,194.57986949037144
Spider,2772,Beavis,Nosferatu,Urka,Sailor,Yakubovich,Sign,-1,-1,194.5634724771315
Cockroach,7845,Ruffo,Lens,Boobs,Can,Rotten,Sign,-1,-1,194.51050910241153
Deadcop,1995,Sticked,Coins,Haminguay,Bold,Teethout,Sign,-1,-1,194.3861663932235
Halfburger,5441,Worm,Feelings,Skeleton,Gman,Shark,Sign,-1,-1,194.34185235584226
Halfburger,7080,Bull,Blacky,Haminguay,Raiden,Texas,Sign,-1,-1,194.31173316817342
Halfburger,590,Pierced,Coins,Hooligan,Hugo,Chappy,Sign,-1,-1,194.27928390580612
Worm,6944,Bigppig,Ping,Chair,Bold,Texas,Sign,-1,-1,194.21671822626828
Therapist,1466,Beavis,Love,Armored,Sailor,Chi,Sign,-1,-1,194.16533130218448
Overconsume,7917,Beavis,Beaten,Rotten,Raiden,Shark,Sign,-1,-1,194.14890547110596
Overconsume,7200,Beated,Fish,Redisco,Nipple,Mask,Sign,-1,-1,194.09763166812323
Worm,6887,Bigppig,Cyber,VDV,Goblin,Rotten,Sign,-1,-1,194.01988165209983
Hoock,1190,Plastered,Out,Hooligan,Hugo,Stickered,Sign,-1,-1,193.8087491254071
Plastico,964,Rat,Hypnotic,Hoodie,Punk,Clown,Sign,-1,-1,193.77376231512233
Spider,7392,Beavis,Nosferatu,Urka,Beaten,Smoke,Sign,-1,-1,193.75349431454774
Spider,3575,Pierced,Insect,Urka,Sailor,Hellraiser,Sign,-1,-1,193.67215697052032
Plastico,3105,Beavis,Buddha,Hairy,Punk,Rotten,Sign,-1,-1,193.5025981440514
Worm,7552,Zigzag,Insect,Doctor,Babylon,Leo,Sign,-1,-1,193.49041508295198
Overconsume,2535,Beavis,Love,Skeleton,Bold,Wong,Sign,-1,-1,193.41795341699455
Therapist,3481,Bushes,Kitty,Office,Malett,Dick,Sign,-1,-1,193.35672626761783
Iguana,1510,David,Feelings,Meat,Babylon,Yakubovich,Sign,-1,-1,193.3455441725798
Oldporn,5622,David,Coolglasses,Trash,Babylon,Cat,Sign,-1,-1,193.26501629103643
Oldporn,1715,Zigzag,Hypnotic,Doctor,Beaten,Orc,Sign,-1,-1,193.16045157221353
Cockroach,5067,Jerry,Gentlemen,Trash,Beaten,Smile,Sign,-1,-1,193.15255452489524
Nail,1985,Smallpig,Feelings,Urka,Raiden,Pierced,Sign,-1,-1,193.11171963395236
Worm,2076,Jerry,Blacky,Shirt,Hugo,Leo,Sign,-1,-1,193.0041031008604
Poisoned,5820,Plaster,Tripple,VDV,Can,Mask,Sign,-1,-1,192.9801209092975
Overconsume,4872,David,Ping,Golden,Babylon,Stickered,Sign,-1,-1,192.94397645103155
Iguana,6618,Plastered,Cyber,Rotten,Bold,Eye,Sign,-1,-1,192.90792607042934
Spider,2471,Pinoccio,Fu,Doctor,Fishman,Teethout,Sign,-1,-1,192.79860895820707
Therapist,7325,Beavis,Love,Armored,Beaten,Cortes,Sign,-1,-1,192.7600389536229
Plastico,2351,Worm,Mutated,Blooded,Can,Teethy,Sign,-1,-1,192.7552564811479
Poisoned,6558,Devil,Cyber,Meat,Beaten,Wong,Sign,-1,-1,192.64561561877105
Exwife,2941,Plaster,Coins,VDV,Nipple,Teethy,Sign,-1,-1,192.64154871110009
Deadcop,1716,Zigzag,Out,Shirt,Raiden,Ugly,Sign,-1,-1,192.5140063122579
Oldporn,6885,Beavis,Coolglasses,Blooded,Raiden,Ugly,Sign,-1,-1,192.44139715183167
Overconsume,632,Teenager,Kitty,Skeleton,Bold,Dick,Sign,-1,-1,192.2883730723662
Halfburger,398,Sticked,Comix,Urka,Hugo,Dick,Sign,-1,-1,192.19793741207314
